Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
8/7/2025 0:02,STOCK,SELL,-72,TO OPEN,BTAI,,,STOCK,3.41,3.41,LMT
8/7/2025 0:02,STOCK,SELL,-10,TO OPEN,BTAI,,,STOCK,3.41,3.41,LMT
8/7/2025 0:02,STOCK,SELL,-839,TO OPEN,BTAI,,,STOCK,3.41,3.41,LMT
8/7/2025 0:02,STOCK,SELL,-1569,TO OPEN,BTAI,,,STOCK,3.41,3.41,LMT
8/6/2025 23:52,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,3.31,3.31,LMT
8/6/2025 23:44,STOCK,SELL,-100,TO OPEN,BTAI,,,STOCK,3.35,3.35,LMT
8/6/2025 23:43,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.28,3.28,LMT
8/6/2025 23:40,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.31,3.31,LMT
8/6/2025 23:39,STOCK,SELL,-100,TO OPEN,BTAI,,,STOCK,3.37,3.37,LMT
8/6/2025 23:38,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,3.39,3.39,LMT
8/6/2025 23:37,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.17,3.17,LMT
8/6/2025 23:36,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.1,3.1,LMT
8/6/2025 23:32,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,3.1,3.1,LMT
8/6/2025 23:32,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,2.9809,2.9809,LMT
8/6/2025 23:30,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,3.1208,3.1208,LMT
8/6/2025 23:08,STOCK,SELL,-300,TO CLOSE,AIMD,,,STOCK,3.1201,3.1201,LMT
8/6/2025 23:08,STOCK,SELL,-100,TO CLOSE,AIMD,,,STOCK,3.1201,3.1201,LMT
8/6/2025 23:08,STOCK,SELL,-90,TO CLOSE,AIMD,,,STOCK,3.1201,3.12011,LMT
8/6/2025 23:08,STOCK,SELL,-100,TO CLOSE,AIMD,,,STOCK,3.1201,3.1201,LMT
8/6/2025 23:08,STOCK,SELL,-100,TO CLOSE,AIMD,,,STOCK,3.1201,3.1201,LMT
8/6/2025 23:08,STOCK,SELL,-110,TO CLOSE,AIMD,,,STOCK,3.1201,3.12009,LMT
